_id,report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,route_type,mile_point,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,municipality,surface_condition,junction,intersection_type,road_alignment,road_condition
662d5faf2126de392e7a6483,MCP31610064,230073360,Montgomery County Police,Injury Crash,2023-12-23T17:31:00.000,No,0,3,No,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,Maryland (State),4.69,South,North,0.0,FEET,LEVEL,CONNECTICUT AVE,County,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6484,DD5643003C,230073348,Rockville Police Departme,Property Damage Crash,2023-12-23T17:02:00.000,No,2,2,No,DRIVER,OTHER,Missing,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),0.0,East,North,0.0,FEET,LEVEL,FIRST ST,Maryland (State),Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6485,MCP295200F4,230073332,Montgomery County Police,Property Damage Crash,2023-12-23T14:49:00.000,No,1,3,No,DRIVER,SAME DIR REND LEFT TURN,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,US (State),1.51,North,South,10.0,FEET,LEVEL,COLESVILLE RD,County,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6486,DD5648002H,230073322,Rockville Police Departme,Property Damage Crash,2023-12-23T13:27:00.000,No,2,2,No,DRIVER,HEAD ON LEFT TURN,CLEAR,DAYLIGHT,Missing,NONE DETECTED,Municipality,0.47,East,West,20.0,FEET,LEVEL,ROLLINS AVE,Municipality,ROCKVILLE,DRY,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6487,EJ78950051,230073316,Gaithersburg Police Depar,Property Damage Crash,2023-12-23T13:15:00.000,No,0,1,No,UNKNOWN,STRAIGHT MOVEMENT ANGLE,CLOUDY,DAYLIGHT,STOP SIGN,NONE DETECTED,Municipality,0.34,East,East,0.0,FEET,LEVEL,TRAVIS AVE,Municipality,GAITHERSBURG,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6488,MCP21950060,230073310,Montgomery County Police,Property Damage Crash,2023-12-23T13:08:00.000,No,1,3,No,DRIVER,SAME DIR REAR END,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,County,1.35,West,West,50.0,FEET,GRADE DOWNHILL,MIDDLEBROOK RD,County,Missing,DRY,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6489,DM8505000X,230073311,Takoma Park Police Depart,Property Damage Crash,2023-12-23T12:00:00.000,Yes,0,0,Yes,DRIVER,OTHER,CLEAR,DAYLIGHT,NO CONTROLS,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5faf2126de392e7a648a,MCP32630045,230073300,Montgomery County Police,Property Damage Crash,2023-12-23T11:47:00.000,Yes,3,3,No,DRIVER,SAME DIR REAR END,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",Maryland (State),4.24,South,North,0.0,FEET,LEVEL,CONNECTICUT AVE,Maryland (State),Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a648b,MCP2016007M,230073302,Montgomery County Police,Property Damage Crash,2023-12-23T11:43:00.000,Yes,0,0,Yes,DRIVER,OTHER,CLOUDY,DAYLIGHT,NO CONTROLS,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5faf2126de392e7a648c,MCP3341002Z,230073308,Montgomery County Police,Property Damage Crash,2023-12-23T11:41:00.000,Yes,0,0,Yes,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,"ALCOHOL PRESENT, N/A",Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5faf2126de392e7a648d,MCP2052003J,230073293,Montgomery County Police,Property Damage Crash,2023-12-23T11:07:00.000,No,3,3,No,DRIVER,SAME DIRECTION SIDESWIPE,Missing,DAYLIGHT,Missing,NONE DETECTED,County,3.06,North,South,300.0,FEET,LEVEL,SHADY GROVE RD,Ramp,Missing,DRY,COMMERCIAL DRIVEWAY,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a648e,MCP2832008Z,230073284,Montgomery County Police,Property Damage Crash,2023-12-23T10:29:00.000,No,0,0,Yes,DRIVER,SINGLE VEHICLE,CLOUDY,DAYLIGHT,Missing,NONE DETECTED,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5faf2126de392e7a648f,MCP302600C8,230073285,Montgomery County Police,Property Damage Crash,2023-12-23T10:14:00.000,No,2,5,No,DRIVER,SAME DIRECTION LEFT TURN,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),3.83,South,North,0.0,FEET,LEVEL,ROCKVILLE PIKE,County,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6490,MCP30400061,230073266,Montgomery County Police,Property Damage Crash,2023-12-23T06:30:00.000,No,2,3,No,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,County,3.33,West,East,0.0,FEET,LEVEL,RANDOLPH RD,County,Missing,DRY,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6491,MCP3305002X,230073258,Montgomery County Police,Property Damage Crash,2023-12-23T05:00:00.000,No,1,2,No,DRIVER,HEAD ON,CLEAR,DARK NO LIGHTS,NO CONTROLS,ALCOHOL PRESENT,County,0.29,East,North,150.0,FEET,LEVEL,GLENVILLE RD,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6492,MCP3322002B,230073262,Montgomery County Police,Property Damage Crash,2023-12-23T04:50:00.000,No,1,1,No,DRIVER,SAME DIR REAR END,CLOUDY,DARK LIGHTS ON,Missing,Missing,County,0.45,South,South,200.0,FEET,LEVEL,ARCTIC AVE,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6493,MCP33090027,230073253,Montgomery County Police,Property Damage Crash,2023-12-23T02:15:00.000,No,1,1,No,DRIVER,SINGLE VEHICLE,Missing,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,Maryland (State),16.57,East,East,50.0,FEET,LEVEL,ASHTON RD,Maryland (State),Missing,DRY,NON INTERSECTION,Missing,CURVE LEFT,NO DEFECTS
662d5faf2126de392e7a6494,MCP2907002W,230073250,Montgomery County Police,Injury Crash,2023-12-23T01:40:00.000,No,1,2,No,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),5.97,East,North,0.0,FEET,LEVEL,BRADLEY BLVD,County,Missing,DRY,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6495,EJ7870006N,230073223,Gaithersburg Police Depar,Injury Crash,2023-12-22T20:55:00.000,No,3,5,No,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),2.103,North,North,0.0,FEET,LEVEL,GREAT SENECA HWY,Municipality,GAITHERSBURG,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6496,MCP27220052,230073226,Montgomery County Police,Property Damage Crash,2023-12-22T20:31:00.000,No,2,2,No,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,County,1.62,North,North,600.0,FEET,LEVEL,ASPEN HILL RD,Maryland (State),Missing,Missing,Missing,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a6497,MCP23350026,230073217,Montgomery County Police,Property Damage Crash,2023-12-22T20:30:00.000,No,1,2,No,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,County,1.35,West,West,30.0,FEET,HILL CREST,MIDDLEBROOK RD,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
